name,type,start_time,duration,"value"
"USB LS and FS","v1frame",0.494859375,0.000000667,"PID IN"
"USB LS and FS","v1frame",0.494860042,0.000000917,"Address=0x02 Endpoint=0x01"
"USB LS and FS","v1frame",0.494860958,0.000000417,"CRC OK 0x03"
"USB LS and FS","v1frame",0.494861375,0.00000025,"EOP"
"USB LS and FS","v1frame",0.494862042,0.000000667,"SYNC"
"USB LS and FS","v1frame",0.494862708,0.000000667,"PID NAK"
"USB LS and FS","v1frame",0.494863375,0.00000025,"EOP"
"USB LS and FS","v1frame",0.495728125,0.000000667,"SYNC"
"USB LS and FS","v1frame",0.495728792,0.000000667,"PID SOF"
"USB LS and FS","v1frame",0.495729458,0.000001,"Frame # 0x7F0"
"USB LS and FS","v1frame",0.495730458,0.000000417,"CRC OK 0x09"
"USB LS and FS","v1frame",0.495730875,0.00000025,"EOP"
"USB LS and FS","v1frame",0.495853583,0.000000667,"SYNC"
"USB LS and FS","v1frame",0.49585425,0.000000667,"PID IN"
"USB LS and FS","v1frame",0.495854917,0.000000917,"Address=0x02 Endpoint=0x02"
"USB LS and FS","v1frame",0.495855833,0.000000417,"CRC OK 0x10"
"USB LS and FS","v1frame",0.49585625,0.00000025,"EOP"
"USB LS and FS","v1frame",0.495856917,0.000000667,"SYNC"
"USB LS and FS","v1frame",0.495857583,0.000000667,"PID NAK"
"USB LS and FS","v1frame",0.49585825,0.00000025,"EOP"
"USB LS and FS","v1frame",0.495859083,0.000000667,"SYNC"
"USB LS and FS","v1frame",0.49585975,0.000000667,"PID IN"
"USB LS and FS","v1frame",0.495860417,0.000000917,"Address=0x02 Endpoint=0x01"
"USB LS and FS","v1frame",0.495861333,0.000000417,"CRC OK 0x03"
"USB LS and FS","v1frame",0.49586175,0.00000025,"EOP"
"USB LS and FS","v1frame",0.495862417,0.000000667,"SYNC"
"USB LS and FS","v1frame",0.495863083,0.000000667,"PID NAK"
"USB LS and FS","v1frame",0.49586375,0.00000025,"EOP"
"USB LS and FS","v1frame",0.4958645,0.000000667,"SYNC"
"USB LS and FS","v1frame",0.495865167,0.000000667,"PID IN"
"USB LS and FS","v1frame",0.495865833,0.000000917,"Address=0x03 Endpoint=0x01"
"USB LS and FS","v1frame",0.49586675,0.000000417,"CRC OK 0x1C"
"USB LS and FS","v1frame",0.495867167,0.00000025,"EOP"
"USB LS and FS","v1frame",0.496728375,0.000000667,"SYNC"
"USB LS and FS","v1frame",0.496729042,0.000000667,"PID SOF"
"USB LS and FS","v1frame",0.496729708,0.000001,"Frame # 0x7F1"
"USB LS and FS","v1frame",0.496730708,0.000000417,"CRC OK 0x16"
"USB LS and FS","v1frame",0.496731125,0.00000025,"EOP"
"USB LS and FS","v1frame",0.496853667,0.000000667,"SYNC"
"USB LS and FS","v1frame",0.496854333,0.000000667,"PID IN"
"USB LS and FS","v1frame",0.496855,0.000000917,"Address=0x02 Endpoint=0x02"
"USB LS and FS","v1frame",0.496855917,0.000000417,"CRC OK 0x10"
"USB LS and FS","v1frame",0.496856333,0.00000025,"EOP"
"USB LS and FS","v1frame",0.496857,0.000000667,"SYNC"
"USB LS and FS","v1frame",0.496857667,0.000000667,"PID NAK"
"USB LS and FS","v1frame",0.496858333,0.00000025,"EOP"
"USB LS and FS","v1frame",0.496859083,0.000000667,"SYNC"
"USB LS and FS","v1frame",0.49685975,0.000000667,"PID IN"
"USB LS and FS","v1frame",0.496860417,0.000000917,"Address=0x02 Endpoint=0x01"
"USB LS and FS","v1frame",0.496861333,0.000000417,"CRC OK 0x03"
"USB LS and FS","v1frame",0.49686175,0.00000025,"EOP"
"USB LS and FS","v1frame",0.496862375,0.000000667,"SYNC"
"USB LS and FS","v1frame",0.496863042,0.000000667,"PID NAK"
"USB LS and FS","v1frame",0.496863708,0.00000025,"EOP"
"USB LS and FS","v1frame",0.497728583,0.000000667,"SYNC"
"USB LS and FS","v1frame",0.49772925,0.000000667,"PID SOF"
"USB LS and FS","v1frame",0.497729917,0.000001,"Frame # 0x7F2"
"USB LS and FS","v1frame",0.497730917,0.000000417,"CRC OK 0x1E"
"USB LS and FS","v1frame",0.497731333,0.00000025,"EOP"
"USB LS and FS","v1frame",0.497853958,0.000000667,"SYNC"
"USB LS and FS","v1frame",0.497854625,0.000000667,"PID IN"
"USB LS and FS","v1frame",0.497855292,0.000000917,"Address=0x02 Endpoint=0x02"
"USB LS and FS","v1frame",0.497856208,0.000000417,"CRC OK 0x10"
"USB LS and FS","v1frame",0.497856625,0.00000025,"EOP"
"USB LS and FS","v1frame",0.497857333,0.000000667,"SYNC"
"USB LS and FS","v1frame",0.497858,0.000000667,"PID NAK"
"USB LS and FS","v1frame",0.497858667,0.00000025,"EOP"
"USB LS and FS","v1frame",0.4978595,0.000000667,"SYNC"
"USB LS and FS","v1frame",0.497860167,0.000000667,"PID IN"
"USB LS and FS","v1frame",0.497860833,0.000000917,"Address=0x02 Endpoint=0x01"
"USB LS and FS","v1frame",0.49786175,0.000000417,"CRC OK 0x03"
"USB LS and FS","v1frame",0.497862167,0.000000208,"EOP"
"USB LS and FS","v1frame",0.497862792,0.000000667,"SYNC"
"USB LS and FS","v1frame",0.497863458,0.000000667,"PID NAK"
"USB LS and FS","v1frame",0.497864125,0.00000025,"EOP"
"USB LS and FS","v1frame",0.497864875,0.000000667,"SYNC"
"USB LS and FS","v1frame",0.497865542,0.000000667,"PID IN"
"USB LS and FS","v1frame",0.497866208,0.000000917,"Address=0x03 Endpoint=0x01"
"USB LS and FS","v1frame",0.497867125,0.000000417,"CRC OK 0x1C"
"USB LS and FS","v1frame",0.497867542,0.00000025,"EOP"
"USB LS and FS","v1frame",0.498728833,0.000000667,"SYNC"
"USB LS and FS","v1frame",0.4987295,0.000000667,"PID SOF"
"USB LS and FS","v1frame",0.498730167,0.000001,"Frame # 0x7F3"
"USB LS and FS","v1frame",0.498731167,0.000000417,"CRC OK 0x01"
"USB LS and FS","v1frame",0.498731583,0.00000025,"EOP"
"USB LS and FS","v1frame",0.498854208,0.000000667,"SYNC"
"USB LS and FS","v1frame",0.498854875,0.000000667,"PID IN"
"USB LS and FS","v1frame",0.498855542,0.000000917,"Address=0x02 Endpoint=0x02"
"USB LS and FS","v1frame",0.498856458,0.000000417,"CRC OK 0x10"
"USB LS and FS","v1frame",0.498856875,0.00000025,"EOP"
"USB LS and FS","v1frame",0.498857542,0.000000667,"SYNC"
"USB LS and FS","v1frame",0.498858208,0.000000667,"PID NAK"
"USB LS and FS","v1frame",0.498858875,0.00000025,"EOP"
"USB LS and FS","v1frame",0.498859625,0.000000667,"SYNC"
"USB LS and FS","v1frame",0.498860292,0.000000667,"PID IN"
"USB LS and FS","v1frame",0.498860958,0.000000917,"Address=0x02 Endpoint=0x01"
"USB LS and FS","v1frame",0.498861875,0.000000417,"CRC OK 0x03"
